[2025-10-29 09:10:28] Controlador | realizando manejo de votos
[2025-10-29 09:10:28] Vista | actualizando votos
[2025-10-29 09:10:28] Controlador | realizando manejo de votos
[2025-10-29 09:10:28] Vista | actualizando votos
[2025-10-29 09:10:28] Controlador | realizando manejo de votos
[2025-10-29 09:10:28] Vista | actualizando votos
[2025-10-29 09:10:29] Controlador | realizando manejo de votos
[2025-10-29 09:10:29] Vista | actualizando votos
[2025-10-29 09:10:29] Controlador | realizando manejo de votos
[2025-10-29 09:10:29] Vista | actualizando votos
[2025-10-29 09:10:29] Controlador | realizando manejo de votos
[2025-10-29 09:10:29] Vista | actualizando votos
[2025-10-29 09:10:29] Controlador | realizando manejo de votos
[2025-10-29 09:10:29] Vista | actualizando votos
[2025-10-29 09:10:29] Controlador | realizando manejo de votos
[2025-10-29 09:10:29] Vista | actualizando votos
[2025-10-29 09:10:30] Controlador | realizando manejo de votos
[2025-10-29 09:10:30] Vista | actualizando votos
[2025-10-29 09:10:30] Controlador | realizando manejo de votos
[2025-10-29 09:10:30] Vista | actualizando votos
[2025-10-29 09:10:32] Controlador | invocando actionPerformed para botones del menú
[2025-10-29 09:10:33] Controlador | invocando actionPerformed para botones del menú
[2025-10-29 09:10:33] GraficaBarras | Creando gráfica de barras
[2025-10-29 09:10:33] GraficaBarras | Inicializando gráfica de barras
[2025-10-29 09:10:41] Controlador | realizando manejo de votos
[2025-10-29 09:10:41] Vista | actualizando votos
[2025-10-29 09:10:42] Controlador | realizando manejo de votos
[2025-10-29 09:10:42] Vista | actualizando votos
[2025-10-29 09:10:46] Controlador | realizando manejo de votos
[2025-10-29 09:10:46] Vista | actualizando votos
[2025-10-29 09:10:47] Controlador | realizando manejo de votos
[2025-10-29 09:10:47] Vista | actualizando votos
